2020-01-07 15:45:44.3576|2|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request finished in 68.0737ms 200 text/plain |url: http://localhost/bootstrap/dist/js/bootstrap.min.js.map|action: 
2020-01-07 15:45:44.4456|1|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request starting HTTP/1.1 GET http://localhost:5000/bootstrap/dist/css/bootstrap.css.map   |url: http://localhost/bootstrap/dist/css/bootstrap.css.map|action: 
2020-01-07 15:45:44.4716|2|INFO|Microsoft.AspNetCore.StaticFiles.StaticFileMiddleware|Sending file. Request path: '/bootstrap/dist/css/bootstrap.css.map'. Physical path: 'D:\AxonProject\bijs\Bijs.Admin\Bijs.Admin.WebApi\wwwroot\bootstrap\dist\css\bootstrap.css.map' |url: http://localhost/bootstrap/dist/css/bootstrap.css.map|action: 
2020-01-07 15:45:44.4986|2|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request finished in 53.0327ms 200 text/plain |url: http://localhost/bootstrap/dist/css/bootstrap.css.map|action: 
2020-01-07 15:48:23.5607||INFO|Microsoft.AspNetCore.DataProtection.KeyManagement.XmlKeyManager|User profile is available. Using 'C:\Users\Administrator\AppData\Local\ASP.NET\DataProtection-Keys' as key repository and Windows DPAPI to encrypt keys at rest. |url: |action: 
2020-01-07 15:48:28.2050|1|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request starting HTTP/1.1 GET http://localhost:5000/home/index   |url: http://localhost/home/index|action: 
2020-01-07 15:48:28.2680|0|INFO|Microsoft.AspNetCore.Routing.EndpointMiddleware|Executing endpoint 'Bijs.Admin.WebApi.Controllers.HomeController.Index (Bijs.Admin.WebApi)' |url: http://localhost/home/index|action: Index
2020-01-07 15:48:28.2910|3|INFO|Microsoft.AspNetCore.Mvc.Internal.ControllerActionInvoker|Route matched with {action = "Index", controller = "Home"}. Executing controller action with signature Microsoft.AspNetCore.Mvc.ActionResult Index() on controller Bijs.Admin.WebApi.Controllers.HomeController (Bijs.Admin.WebApi). |url: http://localhost/home/index|action: Index
2020-01-07 15:48:28.3190|1|INFO|Microsoft.AspNetCore.Mvc.Internal.ControllerActionInvoker|Executing action method Bijs.Admin.WebApi.Controllers.HomeController.Index (Bijs.Admin.WebApi) - Validation state: Valid |url: http://localhost/home/index|action: Index
2020-01-07 15:48:28.3190|2|INFO|Microsoft.AspNetCore.Mvc.Internal.ControllerActionInvoker|Executed action method Bijs.Admin.WebApi.Controllers.HomeController.Index (Bijs.Admin.WebApi), returned result Microsoft.AspNetCore.Mvc.ViewResult in 0.7694ms. |url: http://localhost/home/index|action: Index
2020-01-07 15:48:28.3510|1|INFO|Microsoft.AspNetCore.Mvc.ViewFeatures.ViewResultExecutor|Executing ViewResult, running view Index. |url: http://localhost/home/index|action: Index
2020-01-07 15:48:28.4820|4|INFO|Microsoft.AspNetCore.Mvc.ViewFeatures.ViewResultExecutor|Executed ViewResult - view Index executed in 145.6151ms. |url: http://localhost/home/index|action: Index
2020-01-07 15:48:28.4820|2|INFO|Microsoft.AspNetCore.Mvc.Internal.ControllerActionInvoker|Executed action Bijs.Admin.WebApi.Controllers.HomeController.Index (Bijs.Admin.WebApi) in 192.5818ms |url: http://localhost/home/index|action: Index
2020-01-07 15:48:28.5000|1|INFO|Microsoft.AspNetCore.Routing.EndpointMiddleware|Executed endpoint 'Bijs.Admin.WebApi.Controllers.HomeController.Index (Bijs.Admin.WebApi)' |url: http://localhost/home/index|action: Index
2020-01-07 15:48:28.5350|1|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request starting HTTP/1.1 GET http://localhost:5000/jquery/jquery.min.js   |url: http://localhost/jquery/jquery.min.js|action: 
2020-01-07 15:48:28.5350|1|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request starting HTTP/1.1 GET http://localhost:5000/vue/vue.min.js   |url: http://localhost/vue/vue.min.js|action: 
2020-01-07 15:48:28.5350|1|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request starting HTTP/1.1 GET http://localhost:5000/bootstrap/dist/js/bootstrap.min.js   |url: http://localhost/bootstrap/dist/js/bootstrap.min.js|action: 
2020-01-07 15:48:28.5620|2|INFO|Microsoft.AspNetCore.StaticFiles.StaticFileMiddleware|Sending file. Request path: '/bootstrap/dist/js/bootstrap.min.js'. Physical path: 'D:\AxonProject\bijs\Bijs.Admin\Bijs.Admin.WebApi\wwwroot\bootstrap\dist\js\bootstrap.min.js' |url: http://localhost/bootstrap/dist/js/bootstrap.min.js|action: 
2020-01-07 15:48:28.5710|2|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request finished in 34.3452ms 200 application/javascript |url: http://localhost/bootstrap/dist/js/bootstrap.min.js|action: 
2020-01-07 15:48:28.5910|2|INFO|Microsoft.AspNetCore.StaticFiles.StaticFileMiddleware|Sending file. Request path: '/jquery/jquery.min.js'. Physical path: 'D:\AxonProject\bijs\Bijs.Admin\Bijs.Admin.WebApi\wwwroot\jquery\jquery.min.js' |url: http://localhost/jquery/jquery.min.js|action: 
2020-01-07 15:48:28.6010|2|INFO|Microsoft.AspNetCore.StaticFiles.StaticFileMiddleware|Sending file. Request path: '/vue/vue.min.js'. Physical path: 'D:\AxonProject\bijs\Bijs.Admin\Bijs.Admin.WebApi\wwwroot\vue\vue.min.js' |url: http://localhost/vue/vue.min.js|action: 
2020-01-07 15:48:28.6010|2|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request finished in 75.873ms 200 application/javascript |url: http://localhost/jquery/jquery.min.js|action: 
2020-01-07 15:48:28.6220|2|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request finished in 83.021ms 200 application/javascript |url: http://localhost/vue/vue.min.js|action: 
2020-01-07 15:48:28.6340|2|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request finished in 429.6648ms 200 text/html; charset=utf-8 |url: http://localhost/home/index|action: Index
2020-01-07 15:48:28.6340|1|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request starting HTTP/1.1 GET http://localhost:5000/bootstrap/dist/css/bootstrap.css   |url: http://localhost/bootstrap/dist/css/bootstrap.css|action: 
2020-01-07 15:48:28.6480|2|INFO|Microsoft.AspNetCore.StaticFiles.StaticFileMiddleware|Sending file. Request path: '/bootstrap/dist/css/bootstrap.css'. Physical path: 'D:\AxonProject\bijs\Bijs.Admin\Bijs.Admin.WebApi\wwwroot\bootstrap\dist\css\bootstrap.css' |url: http://localhost/bootstrap/dist/css/bootstrap.css|action: 
2020-01-07 15:48:28.6480|2|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request finished in 18.2006ms 200 text/css |url: http://localhost/bootstrap/dist/css/bootstrap.css|action: 
2020-01-07 15:48:28.7430|1|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request starting HTTP/1.1 POST http://localhost:5000/Home/RefreshPrice  0 |url: http://localhost/Home/RefreshPrice|action: 
2020-01-07 15:48:28.7540|0|INFO|Microsoft.AspNetCore.Routing.EndpointMiddleware|Executing endpoint 'Bijs.Admin.WebApi.Controllers.HomeController.RefreshPrice (Bijs.Admin.WebApi)' |url: http://localhost/Home/RefreshPrice|action: RefreshPrice
2020-01-07 15:48:28.8290|1|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request starting HTTP/1.1 GET http://localhost:5000/bootstrap/dist/css/bootstrap.css.map   |url: http://localhost/bootstrap/dist/css/bootstrap.css.map|action: 
